Foursquare Category,"Cultural category
"
Afghan Restaurant,Middle Eastern
African Restaurant,African
American Restaurant,American
Asian Restaurant,Asian
Australian Restaurant,Other
Austrian Restaurant,Central European
BBQ Joint,American
Bagel Shop,None
Bakery,None
Bangladeshi Restaurant,South Asian
Belgian Restaurant,Central European
Bistro,None
Breakfast Spot,None
Bubble Tea Shop,None
Buffet,None
Burger Joint,None
Cafeteria,None
Café,None
Cajun / Creole Restaurant,Caribbean
Caribbean Restaurant,Caribbean
Caucasian Restaurant,Middle Eastern
Coffee Shop,None
Comfort Food Restaurant,None
Creperie,French
Czech Restaurant,East European
Deli / Bodega,None
Dessert Shop,None
Diner,None
Donut Shop,None
Dumpling Restaurant,None
Dutch Restaurant,Central European
Eastern European Restaurant,East European
English Restaurant,British and Irish
Falafel Restaurant,Middle Eastern
Fast Food Restaurant,None
Fish & Chips Shop,British and Irish
Fondue Restaurant,French
Food Court,None
Food Stand,None
Food Truck,None
French Restaurant,French
Fried Chicken Joint,None
Friterie,None
Gastropub,British and Irish
German Restaurant,Central European
Gluten-free Restaurant,None
Greek Restaurant,Mediterranean
Halal Restaurant,Middle Eastern
Hawaiian Restaurant,American
Hot Dog Joint,None
Hungarian Restaurant,Central European
Indian Restaurant,South Asian
Irish Pub,British and Irish
Italian Restaurant,Mediterranean
Jewish Restaurant,Middle Eastern
Juice Bar,None
Kebab Restaurant,Middle Eastern
Latin American Restaurant,Latin American
Mac & Cheese Joint,None
Mediterranean Restaurant,Mediterranean
Mexican Restaurant,Latin American
Middle Eastern Restaurant,Middle Eastern
Modern European Restaurant,Other
Molecular Gastronomy Restaurant,None
Pakistani Restaurant,South Asian
Pet Café,None
Pizza Place,Mediterranean
Polish Restaurant,East European
Portuguese Restaurant,Mediterranean
Poutine Place,American
Restaurant,None
Russian Restaurant,East European
Salad Place,None
Sandwich Place,None
Scandinavian Restaurant,Scandinavian
Scottish Restaurant,British and Irish
Seafood Restaurant,None
Slovak Restaurant,East European
Snack Place,None
Soup Place,None
Southern / Soul Food Restaurant,American
Spanish Restaurant,Mediterranean
Sri Lankan Restaurant,South Asian
Steakhouse,Other
Swiss Restaurant,Central European
Tea Room,None
Theme Restaurant,None
Truck Stop,None
Turkish Restaurant,Middle Eastern
Ukrainian Restaurant,East European
Vegetarian / Vegan Restaurant,None
Wings Joint,American